areaCode,areaName,tenureCode,tenureType,value2011,value2021
E09000013,Hammersmith and Fulham,5,Private rented: Private landlord or letting agency,24215,27284
E09000013,Hammersmith and Fulham,6,Private rented: Other private rented,1340,2274
E09000013,Hammersmith and Fulham,7,Lives rent free,1248,157
E09000014,Haringey,0,Owned: Owns outright,16326,18141
E09000014,Haringey,1,Owned: Owns with a mortgage or loan,23277,20975
E09000014,Haringey,2,Shared ownership: Shared ownership,1533,1732
E09000014,Haringey,3,Social rented: Rents from council or Local Authority,17288,15630
E09000014,Haringey,4,Social rented: Other social rented,9954,10844
E09000014,Haringey,5,Private rented: Private landlord or letting agency,30924,35052
E09000014,Haringey,6,Private rented: Other private rented,1171,2324
E09000014,Haringey,7,Lives rent free,1482,393
E09000015,Harrow,0,Owned: Owns outright,26246,26947
E09000015,Harrow,1,Owned: Owns with a mortgage or loan,28755,25743
E09000015,Harrow,2,Shared ownership: Shared ownership,821,1007
E09000015,Harrow,3,Social rented: Rents from council or Local Authority,5157,4977
E09000015,Harrow,4,Social rented: Other social rented,3766,4321
E09000015,Harrow,5,Private rented: Private landlord or letting agency,17165,24354
E09000015,Harrow,6,Private rented: Other private rented,1159,2141
E09000015,Harrow,7,Lives rent free,1199,152
E09000016,Havering,0,Owned: Owns outright,34625,34918
E09000016,Havering,1,Owned: Owns with a mortgage or loan,37073,35461
E09000016,Havering,2,Shared ownership: Shared ownership,586,976
E09000016,Havering,3,Social rented: Rents from council or Local Authority,10464,9423
E09000016,Havering,4,Social rented: Other social rented,3335,4384
E09000016,Havering,5,Private rented: Private landlord or letting agency,9601,14452
E09000016,Havering,6,Private rented: Other private rented,736,1567
E09000016,Havering,7,Lives rent free,779,95
E09000017,Hillingdon,0,Owned: Owns outright,27921,28994
E09000017,Hillingdon,1,Owned: Owns with a mortgage or loan,35090,32837
E09000017,Hillingdon,2,Shared ownership: Shared ownership,1280,1373
E09000017,Hillingdon,3,Social rented: Rents from council or Local Authority,10481,10179
E09000017,Hillingdon,4,Social rented: Other social rented,6271,7434
E09000017,Hillingdon,5,Private rented: Private landlord or letting agency,16691,25692
E09000017,Hillingdon,6,Private rented: Other private rented,1450,2584
E09000017,Hillingdon,7,Lives rent free,1030,135
E09000018,Hounslow,0,Owned: Owns outright,20048,21761
E09000018,Hounslow,1,Owned: Owns with a mortgage or loan,27514,25283
E09000018,Hounslow,2,Shared ownership: Shared ownership,2245,2225
E09000018,Hounslow,3,Social rented: Rents from council or Local Authority,14296,13251
E09000018,Hounslow,4,Social rented: Other social rented,7386,8367
E09000018,Hounslow,5,Private rented: Private landlord or letting agency,21099,29537
E09000018,Hounslow,6,Private rented: Other private rented,1107,2251
E09000018,Hounslow,7,Lives rent free,1207,286
E09000019,Islington,0,Owned: Owns outright,10587,11151
E09000019,Islington,1,Owned: Owns with a mortgage or loan,15977,14589
E09000019,Islington,2,Shared ownership: Shared ownership,1207,1580
E09000019,Islington,3,Social rented: Rents from council or Local Authority,25014,24081
E09000019,Islington,4,Social rented: Other social rented,14328,14706
E09000019,Islington,5,Private rented: Private landlord or letting agency,23954,28084
E09000019,Islington,6,Private rented: Other private rented,1263,1995
E09000019,Islington,7,Lives rent free,1226,310
E09000020,Kensington and Chelsea,0,Owned: Owns outright,17933,13301
E09000020,Kensington and Chelsea,1,Owned: Owns with a mortgage or loan,10074,7890
E09000020,Kensington and Chelsea,2,Shared ownership: Shared ownership,700,676
E09000020,Kensington and Chelsea,3,Social rented: Rents from council or Local Authority,7201,7154
E09000020,Kensington and Chelsea,4,Social rented: Other social rented,12070,11276
E09000020,Kensington and Chelsea,5,Private rented: Private landlord or letting agency,26676,23560
E09000020,Kensington and Chelsea,6,Private rented: Other private rented,1432,2900
E09000020,Kensington and Chelsea,7,Lives rent free,2450,127
E09000021,Kingston upon Thames,0,Owned: Owns outright,17727,18519
E09000021,Kingston upon Thames,1,Owned: Owns with a mortgage or loan,23035,21418
E09000021,Kingston upon Thames,2,Shared ownership: Shared ownership,434,460
E09000021,Kingston upon Thames,3,Social rented: Rents from council or Local Authority,5252,4647
E09000021,Kingston upon Thames,4,Social rented: Other social rented,2250,2597
E09000021,Kingston upon Thames,5,Private rented: Private landlord or letting agency,13391,16535
E09000021,Kingston upon Thames,6,Private rented: Other private rented,921,1376
E09000021,Kingston upon Thames,7,Lives rent free,629,76
E09000022,Lambeth,0,Owned: Owns outright,14778,16180
E09000022,Lambeth,1,Owned: Owns with a mortgage or loan,28107,28289
E09000022,Lambeth,2,Shared ownership: Shared ownership,1987,2441
E09000022,Lambeth,3,Social rented: Rents from council or Local Authority,25496,24126
E09000022,Lambeth,4,Social rented: Other social rented,20123,21117
E09000022,Lambeth,5,Private rented: Private landlord or letting agency,36023,39228
E09000022,Lambeth,6,Private rented: Other private rented,2110,3101
E09000022,Lambeth,7,Lives rent free,1393,206
E09000023,Lewisham,0,Owned: Owns outright,17273,18853
E09000023,Lewisham,1,Owned: Owns with a mortgage or loan,31955,32377
E09000023,Lewisham,2,Shared ownership: Shared ownership,1436,1944
