Lower tier local authorities Code,Lower tier local authorities,Tenure of household (9 categories) Code,Tenure of household (9 categories),Observation
E09000013,Hammersmith and Fulham,5,Private rented: Private landlord or letting agency,27284
E09000013,Hammersmith and Fulham,6,Private rented: Other private rented,2274
E09000013,Hammersmith and Fulham,7,Lives rent free,157
E09000014,Haringey,-8,Does not apply,0
E09000014,Haringey,0,Owned: Owns outright,18141
E09000014,Haringey,1,Owned: Owns with a mortgage or loan,20975
E09000014,Haringey,2,Shared ownership: Shared ownership,1732
E09000014,Haringey,3,Social rented: Rents from council or Local Authority,15630
E09000014,Haringey,4,Social rented: Other social rented,10844
E09000014,Haringey,5,Private rented: Private landlord or letting agency,35052
E09000014,Haringey,6,Private rented: Other private rented,2324
E09000014,Haringey,7,Lives rent free,393
E09000015,Harrow,-8,Does not apply,0
E09000015,Harrow,0,Owned: Owns outright,26947
E09000015,Harrow,1,Owned: Owns with a mortgage or loan,25743
E09000015,Harrow,2,Shared ownership: Shared ownership,1007
E09000015,Harrow,3,Social rented: Rents from council or Local Authority,4977
E09000015,Harrow,4,Social rented: Other social rented,4321
E09000015,Harrow,5,Private rented: Private landlord or letting agency,24354
E09000015,Harrow,6,Private rented: Other private rented,2141
E09000015,Harrow,7,Lives rent free,152
E09000016,Havering,-8,Does not apply,0
E09000016,Havering,0,Owned: Owns outright,34918
E09000016,Havering,1,Owned: Owns with a mortgage or loan,35461
E09000016,Havering,2,Shared ownership: Shared ownership,976
E09000016,Havering,3,Social rented: Rents from council or Local Authority,9423
E09000016,Havering,4,Social rented: Other social rented,4384
E09000016,Havering,5,Private rented: Private landlord or letting agency,14452
E09000016,Havering,6,Private rented: Other private rented,1567
E09000016,Havering,7,Lives rent free,95
E09000017,Hillingdon,-8,Does not apply,0
E09000017,Hillingdon,0,Owned: Owns outright,28994
E09000017,Hillingdon,1,Owned: Owns with a mortgage or loan,32837
E09000017,Hillingdon,2,Shared ownership: Shared ownership,1373
E09000017,Hillingdon,3,Social rented: Rents from council or Local Authority,10179
E09000017,Hillingdon,4,Social rented: Other social rented,7434
E09000017,Hillingdon,5,Private rented: Private landlord or letting agency,25692
E09000017,Hillingdon,6,Private rented: Other private rented,2584
E09000017,Hillingdon,7,Lives rent free,135
E09000018,Hounslow,-8,Does not apply,0
E09000018,Hounslow,0,Owned: Owns outright,21761
E09000018,Hounslow,1,Owned: Owns with a mortgage or loan,25283
E09000018,Hounslow,2,Shared ownership: Shared ownership,2225
E09000018,Hounslow,3,Social rented: Rents from council or Local Authority,13251
E09000018,Hounslow,4,Social rented: Other social rented,8367
E09000018,Hounslow,5,Private rented: Private landlord or letting agency,29537
E09000018,Hounslow,6,Private rented: Other private rented,2251
E09000018,Hounslow,7,Lives rent free,286
E09000019,Islington,-8,Does not apply,0
E09000019,Islington,0,Owned: Owns outright,11151
E09000019,Islington,1,Owned: Owns with a mortgage or loan,14589
E09000019,Islington,2,Shared ownership: Shared ownership,1580
E09000019,Islington,3,Social rented: Rents from council or Local Authority,24081
E09000019,Islington,4,Social rented: Other social rented,14706
E09000019,Islington,5,Private rented: Private landlord or letting agency,28084
E09000019,Islington,6,Private rented: Other private rented,1995
E09000019,Islington,7,Lives rent free,310
E09000020,Kensington and Chelsea,-8,Does not apply,0
E09000020,Kensington and Chelsea,0,Owned: Owns outright,13301
E09000020,Kensington and Chelsea,1,Owned: Owns with a mortgage or loan,7890
E09000020,Kensington and Chelsea,2,Shared ownership: Shared ownership,676
E09000020,Kensington and Chelsea,3,Social rented: Rents from council or Local Authority,7154
E09000020,Kensington and Chelsea,4,Social rented: Other social rented,11276
E09000020,Kensington and Chelsea,5,Private rented: Private landlord or letting agency,23560
E09000020,Kensington and Chelsea,6,Private rented: Other private rented,2900
E09000020,Kensington and Chelsea,7,Lives rent free,127
E09000021,Kingston upon Thames,-8,Does not apply,0
E09000021,Kingston upon Thames,0,Owned: Owns outright,18519
E09000021,Kingston upon Thames,1,Owned: Owns with a mortgage or loan,21418
E09000021,Kingston upon Thames,2,Shared ownership: Shared ownership,460
E09000021,Kingston upon Thames,3,Social rented: Rents from council or Local Authority,4647
E09000021,Kingston upon Thames,4,Social rented: Other social rented,2597
E09000021,Kingston upon Thames,5,Private rented: Private landlord or letting agency,16535
E09000021,Kingston upon Thames,6,Private rented: Other private rented,1376
E09000021,Kingston upon Thames,7,Lives rent free,76
E09000022,Lambeth,-8,Does not apply,0
E09000022,Lambeth,0,Owned: Owns outright,16180
E09000022,Lambeth,1,Owned: Owns with a mortgage or loan,28289
E09000022,Lambeth,2,Shared ownership: Shared ownership,2441
E09000022,Lambeth,3,Social rented: Rents from council or Local Authority,24126
E09000022,Lambeth,4,Social rented: Other social rented,21117
E09000022,Lambeth,5,Private rented: Private landlord or letting agency,39228
E09000022,Lambeth,6,Private rented: Other private rented,3101
E09000022,Lambeth,7,Lives rent free,206
E09000023,Lewisham,-8,Does not apply,0
E09000023,Lewisham,0,Owned: Owns outright,18853
E09000023,Lewisham,1,Owned: Owns with a mortgage or loan,32377
E09000023,Lewisham,2,Shared ownership: Shared ownership,1944
E09000023,Lewisham,3,Social rented: Rents from council or Local Authority,16045
E09000023,Lewisham,4,Social rented: Other social rented,19708
E09000023,Lewisham,5,Private rented: Private landlord or letting agency,30797
E09000023,Lewisham,6,Private rented: Other private rented,2492
E09000023,Lewisham,7,Lives rent free,177
E09000024,Merton,-8,Does not apply,0
E09000024,Merton,0,Owned: Owns outright,20695
E09000024,Merton,1,Owned: Owns with a mortgage or loan,24773
