areaCode,areaName,tenureType,value2011,value2021
E09000026,Redbridge,Owned,62983,62892
E09000026,Redbridge,Shared ownership,1003,19805
E09000026,Redbridge,Social rented,11289,27785
E09000026,Redbridge,Private rented,22657,1389
E09000026,Redbridge,Lives rent free,1173,180
E09000027,Richmond upon Thames,Owned,50750,43783
E09000027,Richmond upon Thames,Shared ownership,601,7941
E09000027,Richmond upon Thames,Social rented,10051,14332
E09000027,Richmond upon Thames,Private rented,17440,763
E09000027,Richmond upon Thames,Lives rent free,993,123
E09000028,Southwark,Owned,35330,45608
E09000028,Southwark,Shared ownership,2453,44250
E09000028,Southwark,Social rented,52644,31938
E09000028,Southwark,Private rented,28493,3074
E09000028,Southwark,Lives rent free,1502,214
E09000029,Sutton,Owned,53152,49405
E09000029,Sutton,Shared ownership,611,11797
E09000029,Sutton,Social rented,11422,15317
E09000029,Sutton,Private rented,12429,874
E09000029,Sutton,Lives rent free,560,94
E09000030,Tower Hamlets,Owned,24552,33616
E09000030,Tower Hamlets,Shared ownership,2383,49100
E09000030,Tower Hamlets,Social rented,40106,30563
E09000030,Tower Hamlets,Private rented,32964,1683
E09000030,Tower Hamlets,Lives rent free,1252,209
E09000031,Waltham Forest,Owned,48361,52092
E09000031,Waltham Forest,Shared ownership,1018,29557
E09000031,Waltham Forest,Social rented,21376,24664
E09000031,Waltham Forest,Private rented,25102,1781
E09000031,Waltham Forest,Lives rent free,1004,174
E09000032,Wandsworth,Owned,59393,54239
E09000032,Wandsworth,Shared ownership,1911,30692
E09000032,Wandsworth,Social rented,26516,49830
E09000032,Wandsworth,Private rented,41317,2509
E09000032,Wandsworth,Lives rent free,1356,184
E09000033,Westminster,Owned,32287,25962
E09000033,Westminster,Shared ownership,885,26810
E09000033,Westminster,Social rented,27348,41065
E09000033,Westminster,Private rented,41949,695
E09000033,Westminster,Lives rent free,3303,284
